time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"TestAuto",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
1.615,"TestAuto",-0.0015,4.2787,0.5521,0.0000,0.2920,20.0660,19.5139,0.4861,34.7387,34.7387,0,30,"0:28.966|0.000|23.225;1:27.794|0.000|23.191;2:29.749|0.000|19.318;3:25.998|0.000|25.172;4:31.506|0.000|20.022;5:29.215|0.000|19.549;6:29.383|0.000|20.909;7:30.501|0.000|18.881;8:30.949|0.000|19.496;9:30.057|0.000|20.353;10:30.554|0.000|23.436;11:26.908|0.000|23.761;12:30.454|0.000|21.648;13:28.799|0.000|21.904;14:28.728|0.000|20.082;15:29.281|0.000|68.184;16:30.044|0.000|66.640;17:27.179|0.000|67.620;18:28.745|0.000|67.927;19:28.939|0.000|70.948;20:31.012|0.000|68.808;21:29.454|0.000|69.720;22:29.625|0.000|67.469;23:29.235|0.000|68.774;24:28.731|0.000|68.531;25:30.054|0.000|70.137;26:28.819|0.000|69.746;27:29.930|0.000|68.196;28:28.303|0.000|68.814;29:30.811|0.000|67.964"
1.738,"TestAuto",-0.0016,4.2787,0.5881,0.0000,0.2920,20.0660,19.4779,0.5221,34.7270,34.7270,0,30,"0:28.970|0.000|23.273;1:27.856|0.000|23.198;2:29.796|0.000|19.333;3:26.022|0.000|25.195;4:31.505|0.000|20.079;5:29.211|0.000|19.550;6:29.379|0.000|20.948;7:30.510|0.000|18.827;8:30.943|0.000|19.524;9:30.099|0.000|20.376;10:30.547|0.000|23.475;11:26.900|0.000|23.789;12:30.463|0.000|21.710;13:28.784|0.000|21.951;14:28.712|0.000|20.121;15:29.335|0.000|68.153;16:30.079|0.000|66.586;17:27.179|0.000|67.620;18:28.677|0.000|67.915;19:28.939|0.000|70.948;20:31.082|0.000|68.696;21:29.436|0.000|69.724;22:29.643|0.000|67.432;23:29.250|0.000|68.780;24:28.719|0.000|68.540;25:30.072|0.000|70.142;26:28.762|0.000|69.759;27:29.980|0.000|68.209;28:28.267|0.000|68.832;29:30.846|0.000|67.952"
1.864,"TestAuto",-0.0017,4.2787,0.6272,0.0000,0.2920,20.0660,19.4388,0.5612,34.7164,34.7164,0,30,"0:28.982|0.000|23.334;1:27.929|0.000|23.214;2:29.821|0.000|19.331;3:26.046|0.000|25.217;4:31.498|0.000|20.131;5:29.193|0.000|19.565;6:29.373|0.000|20.997;7:30.520|0.000|18.772;8:30.916|0.000|19.574;9:30.149|0.000|20.411;10:30.538|0.000|23.520;11:26.895|0.000|23.825;12:30.464|0.000|21.771;13:28.759|0.000|22.002;14:28.703|0.000|20.153;15:29.324|0.000|68.142;16:30.218|0.000|66.456;17:27.182|0.000|67.619;18:28.554|0.000|67.851;19:28.943|0.000|70.949;20:31.106|0.000|68.706;21:29.412|0.000|69.700;22:29.655|0.000|67.387;23:29.259|0.000|68.784;24:28.719|0.000|68.541;25:30.084|0.000|70.143;26:28.739|0.000|69.751;27:30.003|0.000|68.208;28:28.234|0.000|68.834;29:30.887|0.000|67.921"
1.975,"TestAuto",-0.0018,4.2787,0.6602,0.0000,0.2920,20.0660,19.4058,0.5942,34.7124,34.7124,0,30,"0:28.996|0.000|23.389;1:27.975|0.000|23.231;2:29.934|0.000|19.316;3:26.065|0.000|25.237;4:31.496|0.000|20.187;5:29.182|0.000|19.571;6:29.367|0.000|21.046;7:30.584|0.000|18.672;8:30.878|0.000|19.669;9:30.187|0.000|20.451;10:30.527|0.000|23.566;11:26.891|0.000|23.865;12:30.458|0.000|21.817;13:28.736|0.000|22.042;14:28.695|0.000|20.190;15:29.308|0.000|68.121;16:30.286|0.000|66.403;17:27.188|0.000|67.613;18:28.473|0.000|67.790;19:28.952|0.000|70.953;20:31.104|0.000|68.749;21:29.385|0.000|69.663;22:29.672|0.000|67.290;23:29.277|0.000|68.797;24:28.703|0.000|68.529;25:30.114|0.000|70.152;26:28.716|0.000|69.746;27:30.035|0.000|68.209;28:28.208|0.000|68.833;29:30.947|0.000|67.835"
2.075,"auto_BusyABNav_default",27.4439,0.7294,35.9347,0.0000,0.2920,20.0660,31.7015,35.8687,10.7651,10.7651,0,30,"0:29.007|0.000|23.435;1:28.000|0.000|23.244;2:29.982|0.000|19.320;3:26.082|0.000|25.256;4:31.494|0.000|20.236;5:29.182|0.000|19.569;6:29.362|0.000|21.091;7:30.640|0.000|18.605;8:30.852|0.000|19.723;9:30.205|0.000|20.484;10:30.518|0.000|23.609;11:26.886|0.000|23.905;12:30.450|0.000|21.862;13:28.715|0.000|22.080;14:28.686|0.000|20.227;15:29.300|0.000|68.095;16:30.387|0.000|66.356;17:27.192|0.000|67.607;18:28.429|0.000|67.753;19:28.980|0.000|70.973;20:31.102|0.000|68.791;21:29.374|0.000|69.629;22:29.712|0.000|67.209;23:29.260|0.000|68.818;24:28.681|0.000|68.509;25:30.138|0.000|70.160;26:28.676|0.000|69.745;27:30.090|0.000|68.215;28:28.178|0.000|68.834;29:30.916|0.000|67.805"
2.195,"auto_BusyABNav_default",27.4118,0.5822,35.9183,0.0000,0.2920,20.0660,31.6655,35.8523,10.7197,10.7197,0,30,"0:29.019|0.000|23.483;1:28.012|0.000|23.253;2:30.026|0.000|19.324;3:26.102|0.000|25.279;4:31.491|0.000|20.287;5:29.095|0.000|19.755;6:29.358|0.000|21.141;7:30.682|0.000|18.556;8:30.829|0.000|19.767;9:30.214|0.000|20.520;10:30.509|0.000|23.646;11:26.882|0.000|23.952;12:30.441|0.000|21.924;13:28.694|0.000|22.119;14:28.676|0.000|20.270;15:29.317|0.000|68.055;16:30.443|0.000|66.321;17:27.194|0.000|67.605;18:28.385|0.000|67.710;19:29.007|0.000|70.991;20:31.101|0.000|68.835;21:29.364|0.000|69.576;22:29.790|0.000|67.074;23:29.269|0.000|68.838;24:28.657|0.000|68.497;25:30.143|0.000|70.169;26:28.627|0.000|69.746;27:30.158|0.000|68.222;28:28.133|0.000|68.836;29:31.037|0.000|67.653"
2.316,"auto_BusyABNav_default",27.3797,0.2938,35.9020,0.0000,0.2920,20.0660,31.6296,35.8360,10.6666,10.6666,0,30,"0:29.030|0.000|23.536;1:28.019|0.000|23.261;2:30.070|0.000|19.350;3:26.129|0.000|25.309;4:31.488|0.000|20.344;5:29.105|0.000|19.824;6:29.353|0.000|21.194;7:30.710|0.000|18.518;8:30.806|0.000|19.810;9:30.215|0.000|20.566;10:30.504|0.000|23.687;11:26.879|0.000|24.005;12:30.435|0.000|21.984;13:28.680|0.000|22.142;14:28.668|0.000|20.321;15:29.313|0.000|68.017;16:30.466|0.000|66.296;17:27.205|0.000|67.593;18:28.344|0.000|67.652;19:29.017|0.000|70.994;20:31.089|0.000|68.885;21:29.355|0.000|69.497;22:29.833|0.000|67.042;23:29.356|0.000|68.790;24:28.637|0.000|68.454;25:30.142|0.000|70.214;26:28.634|0.000|69.782;27:30.183|0.000|68.221;28:28.127|0.000|68.856;29:31.134|0.000|67.531"
2.418,"auto_BusyABNav_default",27.3530,0.0394,35.8884,0.0000,0.2920,20.0660,31.5996,35.8224,10.6204,10.6204,0,30,"0:29.039|0.000|23.580;1:28.024|0.000|23.267;2:30.086|0.000|19.363;3:26.151|0.000|25.336;4:31.488|0.000|20.399;5:29.164|0.000|19.870;6:29.347|0.000|21.239;7:30.727|0.000|18.491;8:30.787|0.000|19.848;9:30.211|0.000|20.610;10:30.499|0.000|23.727;11:26.876|0.000|24.052;12:30.431|0.000|22.032;13:28.670|0.000|22.168;14:28.660|0.000|20.365;15:29.311|0.000|67.979;16:30.477|0.000|66.262;17:27.215|0.000|67.582;18:28.339|0.000|67.616;19:29.025|0.000|70.996;20:31.082|0.000|68.918;21:29.362|0.000|69.456;22:29.914|0.000|66.954;23:29.396|0.000|68.751;24:28.622|0.000|68.436;25:30.183|0.000|70.208;26:28.624|0.000|69.801;27:30.206|0.000|68.217;28:28.147|0.000|68.903;29:31.190|0.000|67.500"
2.530,"auto_BusyABNav_default",27.3209,0.0400,35.8720,0.0000,0.2920,20.0660,31.5637,35.8060,10.5672,10.5672,0,30,"0:29.048|0.000|23.629;1:28.027|0.000|23.273;2:30.097|0.000|19.373;3:26.176|0.000|25.367;4:31.493|0.000|20.435;5:29.192|0.000|19.881;6:29.340|0.000|21.288;7:30.742|0.000|18.463;8:30.765|0.000|19.894;9:30.207|0.000|20.665;10:30.493|0.000|23.773;11:26.871|0.000|24.105;12:30.427|0.000|22.082;13:28.658|0.000|22.200;14:28.650|0.000|20.412;15:29.314|0.000|67.934;16:30.485|0.000|66.217;17:27.223|0.000|67.571;18:28.345|0.000|67.577;19:29.036|0.000|70.998;20:31.078|0.000|68.944;21:29.377|0.000|69.413;22:29.931|0.000|66.921;23:29.422|0.000|68.711;24:28.608|0.000|68.412;25:30.228|0.000|70.200;26:28.588|0.000|69.801;27:30.237|0.000|68.194;28:28.103|0.000|68.903;29:31.242|0.000|67.466"
2.667,"auto_BusyABNav_default",27.2862,0.0400,35.8543,0.0000,0.2920,20.0660,31.5247,35.7883,10.5076,10.5076,0,30,"0:29.059|0.000|23.684;1:28.031|0.000|23.280;2:30.104|0.000|19.382;3:26.205|0.000|25.403;4:31.496|0.000|20.473;5:29.225|0.000|19.887;6:29.334|0.000|21.336;7:30.758|0.000|18.434;8:30.738|0.000|19.956;9:30.204|0.000|20.732;10:30.486|0.000|23.828;11:26.865|0.000|24.166;12:30.424|0.000|22.135;13:28.642|0.000|22.240;14:28.637|0.000|20.461;15:29.319|0.000|67.883;16:30.494|0.000|66.161;17:27.234|0.000|67.558;18:28.347|0.000|67.523;19:29.054|0.000|70.996;20:31.073|0.000|68.972;21:29.397|0.000|69.380;22:29.934|0.000|66.890;23:29.447|0.000|68.663;24:28.605|0.000|68.368;25:30.278|0.000|70.188;26:28.544|0.000|69.805;27:30.267|0.000|68.159;28:28.048|0.000|68.911;29:31.260|0.000|67.448"
