time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"Stronger_A_gh",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
1.522,"Stronger_A_gh",-0.0014,4.2787,0.5251,0.0000,0.2920,20.0660,19.5409,0.4591,33.1155,33.1155,0,30,"0:26.137|0.000|20.858;1:29.070|0.000|24.413;2:28.193|0.000|20.215;3:29.025|0.000|19.999;4:28.961|0.000|21.792;5:28.574|0.000|20.843;6:29.585|0.000|22.663;7:26.569|0.000|21.818;8:28.398|0.000|21.524;9:27.837|0.000|21.150;10:29.159|0.000|20.766;11:28.904|0.000|22.644;12:30.749|0.000|21.994;13:27.227|0.000|23.266;14:29.760|0.000|21.489;15:29.398|0.000|70.098;16:28.956|0.000|69.640;17:28.092|0.000|69.357;18:31.498|0.000|69.209;19:29.801|0.000|69.290;20:29.072|0.000|68.007;21:28.130|0.000|67.161;22:30.144|0.000|68.113;23:30.579|0.000|68.058;24:29.557|0.000|67.741;25:27.194|0.000|69.184;26:26.757|0.000|69.167;27:30.973|0.000|67.874;28:26.220|0.000|68.360;29:27.647|0.000|67.749"
1.641,"Stronger_A_gh",-0.0015,4.2787,0.5611,0.0000,0.2920,20.0660,19.5049,0.4951,33.0542,33.0542,0,30,"0:26.124|0.000|20.810;1:29.083|0.000|24.462;2:28.135|0.000|20.200;3:29.038|0.000|19.971;4:28.978|0.000|21.829;5:28.561|0.000|20.856;6:29.608|0.000|22.689;7:26.574|0.000|21.866;8:28.382|0.000|21.569;9:27.798|0.000|21.169;10:29.185|0.000|20.787;11:28.871|0.000|22.699;12:30.776|0.000|22.036;13:27.259|0.000|23.303;14:29.797|0.000|21.509;15:29.410|0.000|70.139;16:28.890|0.000|69.643;17:28.070|0.000|69.356;18:31.557|0.000|69.167;19:29.904|0.000|69.271;20:29.037|0.000|68.022;21:28.068|0.000|67.182;22:30.084|0.000|68.153;23:30.569|0.000|68.089;24:29.615|0.000|67.686;25:27.245|0.000|69.208;26:26.732|0.000|69.207;27:30.979|0.000|67.881;28:26.220|0.000|68.360;29:27.641|0.000|67.771"
1.743,"Stronger_A_gh",-0.0016,4.2787,0.5911,0.0000,0.2920,20.0660,19.4749,0.5251,33.0019,33.0019,0,30,"0:26.112|0.000|20.770;1:29.095|0.000|24.501;2:28.090|0.000|20.182;3:29.048|0.000|19.946;4:28.993|0.000|21.859;5:28.546|0.000|20.874;6:29.626|0.000|22.712;7:26.576|0.000|21.905;8:28.372|0.000|21.608;9:27.762|0.000|21.187;10:29.208|0.000|20.805;11:28.859|0.000|22.721;12:30.795|0.000|22.071;13:27.286|0.000|23.336;14:29.828|0.000|21.529;15:29.423|0.000|70.176;16:28.859|0.000|69.635;17:27.994|0.000|69.338;18:31.527|0.000|69.148;19:30.017|0.000|69.221;20:29.023|0.000|68.016;21:28.099|0.000|67.148;22:30.088|0.000|68.112;23:30.621|0.000|67.986;24:29.635|0.000|67.648;25:27.297|0.000|69.227;26:26.666|0.000|69.259;27:31.043|0.000|67.893;28:26.217|0.000|68.358;29:27.625|0.000|67.797"
1.858,"Stronger_A_gh",-0.0017,4.2787,0.6242,0.0000,0.2920,20.0660,19.4418,0.5582,32.9434,32.9434,0,30,"0:26.100|0.000|20.724;1:29.107|0.000|24.548;2:28.045|0.000|20.159;3:29.060|0.000|19.915;4:29.012|0.000|21.889;5:28.524|0.000|20.892;6:29.643|0.000|22.736;7:26.576|0.000|21.950;8:28.359|0.000|21.652;9:27.724|0.000|21.208;10:29.231|0.000|20.819;11:28.853|0.000|22.741;12:30.807|0.000|22.098;13:27.315|0.000|23.377;14:29.859|0.000|21.549;15:29.438|0.000|70.218;16:28.827|0.000|69.620;17:27.958|0.000|69.336;18:31.500|0.000|69.147;19:29.996|0.000|69.206;20:29.007|0.000|68.016;21:28.176|0.000|67.097;22:30.073|0.000|68.112;23:30.581|0.000|67.997;24:29.652|0.000|67.600;25:27.323|0.000|69.235;26:26.606|0.000|69.273;27:31.130|0.000|67.906;28:26.192|0.000|68.345;29:27.601|0.000|67.812"
1.979,"Stronger_A_gh",-0.0018,4.2787,0.6602,0.0000,0.2920,20.0660,19.4058,0.5942,32.8877,32.8877,0,30,"0:26.088|0.000|20.683;1:29.117|0.000|24.596;2:28.003|0.000|20.133;3:29.074|0.000|19.876;4:29.032|0.000|21.916;5:28.503|0.000|20.900;6:29.658|0.000|22.763;7:26.576|0.000|22.000;8:28.344|0.000|21.702;9:27.687|0.000|21.226;10:29.256|0.000|20.832;11:28.845|0.000|22.774;12:30.819|0.000|22.129;13:27.339|0.000|23.419;14:29.890|0.000|21.570;15:29.450|0.000|70.261;16:28.844|0.000|69.616;17:28.035|0.000|69.398;18:31.544|0.000|69.168;19:29.992|0.000|69.205;20:28.973|0.000|68.018;21:28.287|0.000|67.021;22:30.035|0.000|68.114;23:30.706|0.000|68.069;24:29.657|0.000|67.546;25:27.270|0.000|69.276;26:26.598|0.000|69.252;27:31.218|0.000|67.905;28:26.117|0.000|68.297;29:27.596|0.000|67.805"
2.101,"Stronger_A_gh",-0.0019,4.2787,0.6992,0.0000,0.2920,20.0660,19.3668,0.6332,32.8359,32.8359,0,30,"0:26.080|0.000|20.648;1:29.122|0.000|24.639;2:27.964|0.000|20.104;3:29.086|0.000|19.836;4:29.058|0.000|21.943;5:28.479|0.000|20.907;6:29.675|0.000|22.797;7:26.576|0.000|22.055;8:28.328|0.000|21.757;9:27.649|0.000|21.241;10:29.281|0.000|20.838;11:28.833|0.000|22.815;12:30.829|0.000|22.164;13:27.350|0.000|23.448;14:29.920|0.000|21.586;15:29.462|0.000|70.310;16:28.903|0.000|69.635;17:28.056|0.000|69.305;18:31.622|0.000|69.188;19:30.012|0.000|69.208;20:28.939|0.000|68.023;21:28.381|0.000|66.946;22:30.015|0.000|68.149;23:30.600|0.000|68.042;24:29.643|0.000|67.536;25:27.338|0.000|69.249;26:26.543|0.000|69.253;27:31.275|0.000|67.897;28:26.059|0.000|68.264;29:27.606|0.000|67.792"
2.229,"Stronger_A_gh",-0.0021,4.2787,0.7352,0.0000,0.2920,20.0660,19.3308,0.6692,32.8048,32.8048,0,30,"0:26.077|0.000|20.636;1:29.124|0.000|24.681;2:27.934|0.000|20.076;3:29.094|0.000|19.797;4:29.089|0.000|21.970;5:28.462|0.000|20.909;6:29.693|0.000|22.837;7:26.577|0.000|22.108;8:28.313|0.000|21.810;9:27.615|0.000|21.255;10:29.311|0.000|20.840;11:28.820|0.000|22.860;12:30.839|0.000|22.205;13:27.358|0.000|23.480;14:29.946|0.000|21.599;15:29.472|0.000|70.358;16:28.913|0.000|69.594;17:28.111|0.000|69.165;18:31.680|0.000|69.179;19:29.999|0.000|69.247;20:28.960|0.000|68.071;21:28.422|0.000|66.917;22:29.907|0.000|68.125;23:30.551|0.000|67.790;24:29.618|0.000|67.509;25:27.360|0.000|69.214;26:26.493|0.000|69.248;27:31.287|0.000|67.890;28:26.036|0.000|68.229;29:27.606|0.000|67.795"
2.330,"Stronger_A_gh",-0.0022,4.2787,0.7682,0.0000,0.2920,20.0660,19.2978,0.7022,32.7806,32.7806,0,30,"0:26.073|0.000|20.634;1:29.125|0.000|24.724;2:27.912|0.000|20.055;3:29.101|0.000|19.761;4:29.122|0.000|21.996;5:28.452|0.000|20.911;6:29.711|0.000|22.878;7:26.579|0.000|22.158;8:28.299|0.000|21.857;9:27.580|0.000|21.273;10:29.347|0.000|20.836;11:28.808|0.000|22.907;12:30.850|0.000|22.250;13:27.364|0.000|23.514;14:29.974|0.000|21.612;15:29.482|0.000|70.406;16:28.952|0.000|69.571;17:28.157|0.000|69.132;18:31.715|0.000|69.159;19:30.051|0.000|69.224;20:28.927|0.000|68.076;21:28.479|0.000|66.871;22:29.746|0.000|68.143;23:30.613|0.000|67.693;24:29.649|0.000|67.404;25:27.362|0.000|69.192;26:26.458|0.000|69.250;27:31.319|0.000|67.884;28:26.006|0.000|68.165;29:27.626|0.000|67.809"
2.431,"Stronger_A_gh",-0.0022,4.2787,0.7982,0.0000,0.2920,20.0660,19.2678,0.7322,32.7625,32.7625,0,30,"0:26.073|0.000|20.634;1:29.126|0.000|24.765;2:27.896|0.000|20.041;3:29.106|0.000|19.728;4:29.154|0.000|22.017;5:28.446|0.000|20.918;6:29.724|0.000|22.916;7:26.581|0.000|22.203;8:28.285|0.000|21.898;9:27.548|0.000|21.289;10:29.383|0.000|20.829;11:28.799|0.000|22.948;12:30.858|0.000|22.291;13:27.369|0.000|23.550;14:30.002|0.000|21.624;15:29.491|0.000|70.447;16:29.009|0.000|69.537;17:28.116|0.000|69.152;18:31.723|0.000|69.152;19:30.096|0.000|69.202;20:28.802|0.000|67.967;21:28.500|0.000|66.839;22:29.754|0.000|68.147;23:30.338|0.000|67.258;24:29.630|0.000|67.420;25:27.354|0.000|69.179;26:26.453|0.000|69.268;27:31.385|0.000|67.875;28:26.001|0.000|68.114;29:27.573|0.000|67.808"
2.542,"Stronger_A_gh",-0.0023,4.2787,0.8312,0.0000,0.2920,20.0660,19.2348,0.7652,32.7432,32.7432,0,30,"0:26.073|0.000|20.635;1:29.126|0.000|24.811;2:27.875|0.000|20.022;3:29.113|0.000|19.688;4:29.198|0.000|22.040;5:28.400|0.000|20.913;6:29.739|0.000|22.958;7:26.585|0.000|22.251;8:28.267|0.000|21.944;9:27.510|0.000|21.309;10:29.426|0.000|20.817;11:28.787|0.000|22.993;12:30.867|0.000|22.338;13:27.374|0.000|23.595;14:30.037|0.000|21.636;15:29.502|0.000|70.493;16:29.026|0.000|69.477;17:28.085|0.000|69.153;18:31.722|0.000|69.150;19:30.128|0.000|69.197;20:28.769|0.000|67.964;21:28.506|0.000|66.809;22:29.750|0.000|68.172;23:30.387|0.000|67.236;24:29.549|0.000|67.164;25:27.336|0.000|69.174;26:26.434|0.000|69.277;27:31.397|0.000|67.888;28:26.007|0.000|68.054;29:27.526|0.000|67.803"
