time,run_label,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,dist_to_goal,progress_along_goal_direction,min_dist_to_ped_so_far,current_min_dist_to_ped,collision_count,num_pedestrians,pedestrian_positions
0.000,"auto_default",0.0000,0.3920,0.0690,0.0000,0.2920,20.0660,19.9970,0.0030,-1,-1.0000,0,0,""
1.411,"auto_default",-0.0013,4.2787,0.4921,0.0000,0.2920,20.0660,19.5739,0.4261,34.4789,34.4884,0,30,"0:30.689|0.000|19.763;1:27.609|0.000|23.533;2:30.233|0.000|23.040;3:29.260|0.000|20.924;4:28.714|0.000|22.181;5:29.463|0.000|21.846;6:27.316|0.000|21.757;7:30.552|0.000|22.045;8:29.143|0.000|22.674;9:29.705|0.000|24.265;10:28.582|0.000|19.791;11:27.849|0.000|21.453;12:28.403|0.000|21.598;13:26.625|0.000|22.535;14:31.180|0.000|21.129;15:27.199|0.000|68.031;16:30.306|0.000|68.710;17:29.782|0.000|69.521;18:28.061|0.000|68.095;19:29.642|0.000|68.225;20:28.866|0.000|69.751;21:27.461|0.000|70.428;22:29.102|0.000|67.661;23:27.024|0.000|68.698;24:27.024|0.000|66.700;25:27.731|0.000|68.826;26:28.556|0.000|69.232;27:28.565|0.000|68.550;28:30.821|0.000|66.793;29:31.152|0.000|68.276"
1.520,"auto_default",-0.0014,4.2787,0.5251,0.0000,0.2920,20.0660,19.5409,0.4591,34.4690,34.4690,0,30,"0:30.679|0.000|19.793;1:27.628|0.000|23.591;2:30.229|0.000|23.098;3:29.270|0.000|20.879;4:28.696|0.000|22.222;5:29.509|0.000|21.856;6:27.293|0.000|21.808;7:30.604|0.000|22.013;8:29.151|0.000|22.723;9:29.703|0.000|24.319;10:28.561|0.000|19.821;11:27.825|0.000|21.423;12:28.412|0.000|21.600;13:26.674|0.000|22.592;14:31.148|0.000|21.147;15:27.219|0.000|67.967;16:30.315|0.000|68.713;17:29.781|0.000|69.521;18:28.040|0.000|68.065;19:29.648|0.000|68.256;20:28.890|0.000|69.767;21:27.513|0.000|70.421;22:29.122|0.000|67.648;23:26.994|0.000|68.711;24:27.024|0.000|66.700;25:27.731|0.000|68.821;26:28.537|0.000|69.306;27:28.621|0.000|68.566;28:30.821|0.000|66.793;29:31.153|0.000|68.276"
1.634,"auto_default",-0.0015,4.2787,0.5581,0.0000,0.2920,20.0660,19.5079,0.4921,34.4460,34.4460,0,30,"0:30.655|0.000|19.826;1:27.634|0.000|23.647;2:30.228|0.000|23.155;3:29.284|0.000|20.837;4:28.688|0.000|22.242;5:29.553|0.000|21.865;6:27.287|0.000|21.823;7:30.639|0.000|22.007;8:29.159|0.000|22.770;9:29.700|0.000|24.368;10:28.540|0.000|19.843;11:27.794|0.000|21.395;12:28.410|0.000|21.600;13:26.713|0.000|22.656;14:31.113|0.000|21.163;15:27.237|0.000|67.904;16:30.350|0.000|68.728;17:29.791|0.000|69.527;18:28.025|0.000|68.037;19:29.600|0.000|68.244;20:28.898|0.000|69.770;21:27.641|0.000|70.373;22:29.155|0.000|67.619;23:26.968|0.000|68.715;24:27.026|0.000|66.700;25:27.727|0.000|68.821;26:28.413|0.000|69.321;27:28.697|0.000|68.568;28:30.821|0.000|66.793;29:31.166|0.000|68.275"
1.747,"auto_default",-0.0016,4.2787,0.5911,0.0000,0.2920,20.0660,19.4749,0.5251,34.4225,34.4225,0,30,"0:30.633|0.000|19.852;1:27.636|0.000|23.692;2:30.230|0.000|23.218;3:29.316|0.000|20.781;4:28.682|0.000|22.273;5:29.588|0.000|21.866;6:27.285|0.000|21.849;7:30.653|0.000|22.030;8:29.165|0.000|22.818;9:29.695|0.000|24.419;10:28.520|0.000|19.864;11:27.752|0.000|21.357;12:28.410|0.000|21.600;13:26.720|0.000|22.687;14:31.082|0.000|21.175;15:27.246|0.000|67.856;16:30.351|0.000|68.737;17:29.803|0.000|69.537;18:28.021|0.000|68.009;19:29.542|0.000|68.125;20:28.905|0.000|69.784;21:27.590|0.000|70.336;22:29.165|0.000|67.604;23:26.933|0.000|68.719;24:27.031|0.000|66.698;25:27.713|0.000|68.830;26:28.392|0.000|69.227;27:28.782|0.000|68.538;28:30.821|0.000|66.793;29:31.208|0.000|68.256"
1.860,"auto_default",-0.0017,4.2787,0.6242,0.0000,0.2920,20.0660,19.4418,0.5582,34.3943,34.3943,0,30,"0:30.607|0.000|19.880;1:27.637|0.000|23.744;2:30.232|0.000|23.282;3:29.358|0.000|20.724;4:28.667|0.000|22.317;5:29.631|0.000|21.868;6:27.283|0.000|21.883;7:30.755|0.000|22.102;8:29.171|0.000|22.872;9:29.691|0.000|24.472;10:28.493|0.000|19.885;11:27.720|0.000|21.310;12:28.416|0.000|21.607;13:26.718|0.000|22.714;14:31.050|0.000|21.184;15:27.253|0.000|67.816;16:30.351|0.000|68.759;17:29.751|0.000|69.584;18:28.030|0.000|67.986;19:29.598|0.000|68.112;20:28.849|0.000|69.865;21:27.555|0.000|70.336;22:29.167|0.000|67.553;23:26.874|0.000|68.723;24:27.054|0.000|66.677;25:27.785|0.000|68.894;26:28.458|0.000|69.191;27:28.829|0.000|68.536;28:30.821|0.000|66.793;29:31.262|0.000|68.218"
1.970,"auto_default",-0.0018,4.2787,0.6572,0.0000,0.2920,20.0660,19.4088,0.5912,34.3670,34.3670,0,30,"0:30.583|0.000|19.904;1:27.639|0.000|23.796;2:30.238|0.000|23.344;3:29.399|0.000|20.679;4:28.653|0.000|22.359;5:29.675|0.000|21.872;6:27.280|0.000|21.922;7:30.794|0.000|22.157;8:29.178|0.000|22.925;9:29.688|0.000|24.520;10:28.471|0.000|19.902;11:27.705|0.000|21.264;12:28.438|0.000|21.623;13:26.714|0.000|22.747;14:31.017|0.000|21.191;15:27.261|0.000|67.775;16:30.374|0.000|68.774;17:29.789|0.000|69.592;18:28.039|0.000|67.967;19:29.572|0.000|68.111;20:28.908|0.000|69.911;21:27.553|0.000|70.339;22:29.158|0.000|67.523;23:26.861|0.000|68.734;24:27.096|0.000|66.606;25:27.854|0.000|68.932;26:28.495|0.000|69.196;27:28.862|0.000|68.519;28:30.820|0.000|66.793;29:31.341|0.000|68.141"
2.080,"auto_default",-0.0019,4.2787,0.6932,0.0000,0.2920,20.0660,19.3728,0.6272,34.3363,34.3363,0,30,"0:30.558|0.000|19.926;1:27.641|0.000|23.858;2:30.242|0.000|23.409;3:29.436|0.000|20.645;4:28.641|0.000|22.412;5:29.727|0.000|21.879;6:27.276|0.000|21.976;7:30.800|0.000|22.194;8:29.185|0.000|22.985;9:29.687|0.000|24.577;10:28.444|0.000|19.923;11:27.695|0.000|21.216;12:28.500|0.000|21.661;13:26.712|0.000|22.795;14:30.980|0.000|21.191;15:27.270|0.000|67.725;16:30.442|0.000|68.734;17:29.857|0.000|69.578;18:28.054|0.000|67.936;19:29.530|0.000|68.081;20:28.945|0.000|69.956;21:27.594|0.000|70.342;22:29.128|0.000|67.465;23:26.896|0.000|68.799;24:27.063|0.000|66.601;25:27.909|0.000|68.890;26:28.443|0.000|69.220;27:29.018|0.000|68.489;28:30.817|0.000|66.791;29:31.433|0.000|68.024"
2.188,"auto_default",-0.0020,4.2787,0.7232,0.0000,0.2920,20.0660,19.3428,0.6572,34.3081,34.3081,0,30,"0:30.538|0.000|19.944;1:27.642|0.000|23.911;2:30.245|0.000|23.461;3:29.459|0.000|20.627;4:28.631|0.000|22.459;5:29.768|0.000|21.890;6:27.273|0.000|22.022;7:30.797|0.000|22.223;8:29.189|0.000|23.035;9:29.686|0.000|24.625;10:28.420|0.000|19.939;11:27.686|0.000|21.175;12:28.554|0.000|21.685;13:26.711|0.000|22.839;14:30.947|0.000|21.190;15:27.278|0.000|67.683;16:30.482|0.000|68.703;17:29.900|0.000|69.574;18:28.074|0.000|67.907;19:29.569|0.000|68.185;20:28.966|0.000|69.990;21:27.647|0.000|70.324;22:29.149|0.000|67.276;23:26.852|0.000|68.794;24:27.059|0.000|66.602;25:27.890|0.000|68.828;26:28.406|0.000|69.231;27:29.049|0.000|68.488;28:30.808|0.000|66.786;29:31.457|0.000|67.986"
2.299,"auto_default",-0.0021,4.2787,0.7562,0.0000,0.2920,20.0660,19.3098,0.6902,34.2748,34.2748,0,30,"0:30.513|0.000|19.963;1:27.642|0.000|23.969;2:30.247|0.000|23.515;3:29.478|0.000|20.614;4:28.620|0.000|22.511;5:29.804|0.000|21.904;6:27.271|0.000|22.076;7:30.797|0.000|22.268;8:29.194|0.000|23.089;9:29.684|0.000|24.680;10:28.392|0.000|19.954;11:27.681|0.000|21.137;12:28.579|0.000|21.683;13:26.712|0.000|22.891;14:30.906|0.000|21.195;15:27.286|0.000|67.637;16:30.519|0.000|68.672;17:29.944|0.000|69.572;18:28.084|0.000|67.848;19:29.579|0.000|67.974;20:28.981|0.000|70.027;21:27.694|0.000|70.311;22:29.169|0.000|67.183;23:26.802|0.000|68.787;24:27.085|0.000|66.573;25:27.850|0.000|68.771;26:28.371|0.000|69.245;27:29.050|0.000|68.460;28:30.800|0.000|66.776;29:31.479|0.000|67.961"
2.405,"auto_default",-0.0022,4.2787,0.7892,0.0000,0.2920,20.0660,19.2768,0.7232,34.2412,34.2412,0,30,"0:30.488|0.000|19.980;1:27.643|0.000|24.023;2:30.247|0.000|23.565;3:29.490|0.000|20.606;4:28.609|0.000|22.554;5:29.830|0.000|21.917;6:27.267|0.000|22.129;7:30.797|0.000|22.319;8:29.200|0.000|23.141;9:29.684|0.000|24.734;10:28.362|0.000|19.970;11:27.679|0.000|21.115;12:28.601|0.000|21.671;13:26.713|0.000|22.942;14:30.861|0.000|21.202;15:27.297|0.000|67.598;16:30.553|0.000|68.639;17:29.988|0.000|69.570;18:28.138|0.000|67.683;19:29.591|0.000|67.891;20:28.994|0.000|70.059;21:27.735|0.000|70.306;22:29.185|0.000|67.129;23:26.754|0.000|68.780;24:27.126|0.000|66.515;25:27.788|0.000|68.591;26:28.338|0.000|69.267;27:29.062|0.000|68.431;28:30.786|0.000|66.763;29:31.508|0.000|67.916"
